id,key,value,type
249798311,created_by,JOSM,regular
249798315,created_by,JOSM,regular
249798419,created_by,JOSM,regular
249798420,created_by,JOSM,regular
249798421,created_by,JOSM,regular
249798423,created_by,JOSM,regular
249798425,created_by,JOSM,regular
249798434,created_by,JOSM,regular
249798459,created_by,JOSM,regular
249798503,created_by,JOSM,regular
249798509,created_by,JOSM,regular
249798510,created_by,JOSM,regular
249798512,created_by,JOSM,regular
249798531,highway,traffic_signals,regular
249798532,highway,traffic_signals,regular
250319611,name,Kannampet,regular
250319611,place,neighbourhood,regular
250319617,name,CIT Nagar,regular
250319617,is_in,Chennai,regular
250319617,place,neighbourhood,regular
250327570,ref,MBM,regular
250327570,name,Mambalam,regular
250327570,public_transport,stop_position,regular
250363729,name,Mambalam Police Station,regular
250363729,amenity,police,regular
250363729,created_by,Potlatch 0.10f,regular
250364662,created_by,JOSM,regular
250365055,created_by,JOSM,regular
252171269,ref,STM,regular
252171269,public_transport,stop_position,regular
252298993,created_by,JOSM,regular
252298997,created_by,JOSM,regular
252299172,created_by,JOSM,regular
252299194,created_by,JOSM,regular
252299199,created_by,JOSM,regular
252299250,created_by,JOSM,regular
252299262,created_by,JOSM,regular
252299273,created_by,JOSM,regular
252299406,created_by,JOSM,regular
252299742,name,Nagerkoyil Sudalaimuthu Krishnan Nagar,regular
252299742,is_in,Chennai,regular
252299742,place,neighbourhood,regular
252299748,created_by,JOSM,regular
252299756,created_by,JOSM,regular
252299762,highway,traffic_signals,regular
252299774,highway,traffic_signals,regular
252299890,name,Shenoy Nagar,regular
252299890,is_in,Chennai,regular
252299890,place,suburb,regular
252299890,wikidata,Q7494314,regular
252299890,created_by,Potlatch 0.7b,regular
252300596,name,Kilpauk,regular
252300596,is_in,Chennai,regular
252300596,place,suburb,regular
252300596,ta,கீழ்ப்பாக்கம்,name
252300596,wikidata,Q3133187,regular
254122040,name,George Town,regular
254122040,is_in,Chennai,regular
254122040,place,suburb,regular
254122040,ta,முத்தியால்பேட்டை,name
254122040,wikidata,Q3276293,regular
254122040,wikipedia,"en:George Town, Chennai",regular
254122169,highway,traffic_signals,regular
254142111,railway,buffer_stop,regular
254142204,ref,RPM:2,regular
254142204,public_transport,stop_position,regular
254142278,ref,KOK,regular
254142278,name,Korukkupet,regular
254142278,railway,station,regular
254142278,wikidata,Q6432750,regular
254142278,wikipedia,en:Korukkupet railway station,regular
254142280,ref,BBQ:6,regular
254142280,public_transport,stop_position,regular
254142829,created_by,JOSM,regular
254142866,created_by,JOSM,regular
254142882,created_by,JOSM,regular
254142888,created_by,JOSM,regular
254142892,created_by,JOSM,regular
254142894,created_by,JOSM,regular
254142932,created_by,JOSM,regular
254142961,created_by,JOSM,regular
254143113,ref,WST:1,regular
254143113,public_transport,stop_position,regular
254143115,highway,traffic_signals,regular
254150702,name,Park Town,regular
254150702,is_in,Chennai,regular
254150702,place,suburb,regular
254150702,ta,பூங்கா நகர,name
254150702,wikidata,Q7138106,regular
254150702,wikipedia,"en:Park Town, Chennai",regular
254150705,name,Royapuram,regular
254150705,place,suburb,regular
254150705,ta,ராயபுரம்,name
254150705,wikidata,Q7375147,regular
254151455,name,Vyasarpadi,regular
254151455,is_in,Chennai,regular
254151455,place,suburb,regular
254151455,ta,வியாசர்பாடி,name
254151455,wikidata,Q16902794,regular
254151476,name,Basin Bridge,regular
254151476,place,suburb,regular
